area, name, level, item type, weapon type, armor position, stats, weapon flags, extra flags, affects, found at
Plains, "a strange template", 13, scroll, none, hold, none, none, magic, , inventory of Shudde-M'ell
Plains, "a clear potion", 0, potion, none, none, none, none, magic, , inventory of Shudde-M'ell
Plains, "a dark red jar", 0, drink, none, none, none, none, none, , inventory of Sorbus the Hermit
Plains, "a rabbit roast", 0, food, none, none, none, none, none, , in room Hermit's hut
Plains, "a stone tablet", 10, spell_page, none, hold, none, none, none, , inventory of Aruncus the Druid
Plains, "a small dusk of poison ivy", 0, food, none, none, none, none, none, , inventory of Aruncus the Druid
Plains, "a scroll titled 'jhyfrdow'", 2, scroll, none, none, none, none, none, , inventory of Aruncus the Druid
Plains, "a strange amulet", 0, jewelry, none, neck, none, none, magic nodrop, saves 5 , equipped by Aruncus the Druid
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass helm", 16, armor, none, head, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "brass leggings", 16, armor, none, legs, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "brass boots", 16, armor, none, feet, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "brass gauntlets", 16, armor, none, hands, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "brass sleeves", 16, armor, none, arms, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass girth", 16, armor, none, waist, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by Marshall Diana
New Ofcol, "platinum plate", 30, armor, none, torso, 9/9/9/3, none, magic anti-evil, constitution 2 hp 15 , equipped by Marshall Diana
New Ofcol, "the platinum helmet", 30, armor, none, head, 9/9/9/3, none, magic anti-evil, wisdom 2 mana 10 , equipped by Marshall Diana
New Ofcol, "platinum leggings", 30, armor, none, legs, 9/9/9/3, none, magic anti-evil, dexterity 2 hp 10 , equipped by Marshall Diana
New Ofcol, "platinum boots", 32, armor, none, feet, 9/9/9/3, none, magic anti-evil, moves 25 hp 10 , equipped by Marshall Diana
New Ofcol, "platinum gauntlets", 31, armor, none, hands, 9/9/9/3, none, magic anti-evil, hit roll 2 hp 10 , equipped by Marshall Diana
New Ofcol, "platinum sleeves", 30, armor, none, arms, 9/9/9/3, none, magic anti-evil, strength 2 hp 10 , equipped by Marshall Diana
New Ofcol, "the platinum spiked shield", 31, armor, none, shield, 9/9/9/5, none, magic anti-evil, damage roll 2 hp 10 , equipped by Marshall Diana
New Ofcol, "the platinum girth", 31, armor, none, waist, 9/9/9/3, none, magic anti-evil, saves -2 hp 10 , equipped by Marshall Diana
New Ofcol, "holy Avenger", 32, weapon, sword, none, 4d6 (average 14), holy, magic anti-evil, damage roll 6 hit roll 1 , equipped by Marshall Diana
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by Captain Derrick
New Ofcol, "silver plate", 25, armor, none, torso, 8/8/8/2, none, magic anti-evil, strength 1 mana 10 , equipped by Captain Derrick
New Ofcol, "a ranseur", 24, weapon, polearm, none, 4d6 (average 14), two-handed, magic anti-evil, damage roll -1 hit roll 3 , equipped by Captain Derrick
New Ofcol, "a silver helm", 25, armor, none, head, 8/8/8/2, none, magic anti-evil, dexterity 1 mana 5 , equipped by Captain Derrick
New Ofcol, "silver leggings", 25, armor, none, legs, 8/8/8/2, none, magic anti-evil, intelligence 1 mana 5 , equipped by Captain Derrick
New Ofcol, "silver boots", 25, armor, none, feet, 8/8/8/2, none, magic anti-evil, wisdom 1 mana 5 , equipped by Captain Derrick
New Ofcol, "silver gauntlets", 25, armor, none, hands, 8/8/8/2, none, magic anti-evil, constitution 1 mana 5 , equipped by Captain Derrick
New Ofcol, "brass sleeves", 16, armor, none, arms, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by Captain Derrick
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by Captain Derrick
New Ofcol, "a brass girth", 16, armor, none, waist, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by Captain Derrick
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by Captain Jacklyn
New Ofcol, "silver plate", 25, armor, none, torso, 8/8/8/2, none, magic anti-evil, strength 1 mana 10 , equipped by Captain Jacklyn
New Ofcol, "a ranseur", 24, weapon, polearm, none, 4d6 (average 14), two-handed, magic anti-evil, damage roll -1 hit roll 3 , equipped by Captain Jacklyn
New Ofcol, "a silver helm", 25, armor, none, head, 8/8/8/2, none, magic anti-evil, dexterity 1 mana 5 , equipped by Captain Jacklyn
New Ofcol, "brass leggings", 16, armor, none, legs, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by Captain Jacklyn
New Ofcol, "brass boots", 16, armor, none, feet, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by Captain Jacklyn
New Ofcol, "brass gauntlets", 16, armor, none, hands, 6/5/6/1, none, magic, hp 5 saves -1 , equipped by Captain Jacklyn
New Ofcol, "silver sleeves", 25, armor, none, arms, 8/8/8/2, none, magic anti-evil, hit roll 1 mana 5 , equipped by Captain Jacklyn
New Ofcol, "the silver shield", 25, armor, none, shield, 8/8/8/3, none, magic anti-evil, armor class -3 mana 5 , equipped by Captain Jacklyn
New Ofcol, "the silver girth", 25, armor, none, waist, 8/8/8/2, none, magic anti-evil, damage roll 1 mana 5 , equipped by Captain Jacklyn
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "a brass shield", 16, armor, none, shield, 6/5/6/2, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "the citadel key", 0, key, none, none, none, none, none, , inventory of the Ofcol cityguard
New Ofcol, "a hand axe", 4, weapon, axe, none, 1d8 (average 4), none, none, , inventory of Jim the Blacksmith
New Ofcol, "a meat cleaver", 8, weapon, dagger, none, 2d5 (average 6), none, none, damage roll 1 , inventory of Jim the Blacksmith
New Ofcol, "a pitchfork", 7, weapon, staff, none, 3d3 (average 6), none, none, , inventory of Jim the Blacksmith
New Ofcol, "a chest", 0, container, none, none, none, none, none, , inventory of Jim the Blacksmith
New Ofcol, "a leather vest", 0, armor, none, torso, 1/2/2/0, none, none, , inventory of Sam
New Ofcol, "some leather sleeves", 0, armor, none, arms, 1/2/2/0, none, none, , inventory of Sam
New Ofcol, "some leather leggings", 0, armor, none, legs, 1/2/2/0, none, none, , inventory of Sam
New Ofcol, "some leather boots", 0, armor, none, feet, 1/2/2/0, none, none, , inventory of Sam
New Ofcol, "an emerald ring", 0, jewelry, none, finger, none, none, magic, , inventory of Madam Tracy
New Ofcol, "a glass trinket", 0, gem, none, hold, none, none, none, saves -1 , inventory of Madam Tracy
New Ofcol, "a golden necklace", 0, jewelry, none, neck, none, none, none, wisdom -1 , inventory of Madam Tracy
New Ofcol, "a side of beef", 0, food, none, none, none, none, none, , inventory of Marty
New Ofcol, "a side of pork", 0, food, none, none, none, none, none, , inventory of Marty
New Ofcol, "a side of horse", 0, food, none, none, none, none, none, , inventory of Marty
New Ofcol, "a defeathered chicken", 0, food, none, none, none, none, none, , inventory of Marty
New Ofcol, "a shot of whiskey", 0, drink, none, none, none, none, none, , inventory of Nyles the Bartender
New Ofcol, "a quart of ale", 0, drink, none, none, none, none, none, , inventory of Nyles the Bartender
New Ofcol, "a quart of port brew", 0, drink, none, none, none, none, none, , inventory of Nyles the Bartender
New Ofcol, "a head of cabbage", 0, food, none, none, none, none, none, , inventory of Farmer Elizabeth
New Ofcol, "a head of lettuce", 0, food, none, none, none, none, none, , inventory of Farmer Elizabeth
New Ofcol, "a bottle of milk", 0, drink, none, none, none, none, none, , inventory of Farmer Elizabeth
New Ofcol, "an apple", 0, food, none, none, none, none, none, , inventory of Farmer Elizabeth
New Ofcol, "an ear of corn", 0, food, none, none, none, none, none, , inventory of Farmer Elizabeth
New Ofcol, "a meat cleaver", 8, weapon, dagger, none, 2d5 (average 6), none, none, damage roll 1 , equipped by Jack
New Ofcol, "a house key", 0, key, none, none, none, none, none, , inventory of the maid
New Ofcol, "a broom", 1, weapon, exotic, none, 2d3 (average 4), none, none, damage roll -3 hit roll 3 , equipped by the maid
New Ofcol, "a house key", 0, key, none, none, none, none, none, , inventory of the maid
New Ofcol, "a broom", 1, weapon, exotic, none, 2d3 (average 4), none, none, damage roll -3 hit roll 3 , equipped by the maid
New Ofcol, "a house key", 0, key, none, none, none, none, none, , inventory of the maid
New Ofcol, "a broom", 1, weapon, exotic, none, 2d3 (average 4), none, none, damage roll -3 hit roll 3 , equipped by the maid
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Priestess of Ofcol
New Ofcol, "a golden robe", 17, armor, none, body, 6/6/5/2, none, magic anti-evil, intelligence 2 , equipped by the Priestess of Ofcol
New Ofcol, "the Holy Symbol of Bahamut", 17, jewelry, none, neck, none, none, magic bless anti-evil anti-neutral, wisdom 2 mana 10 armor class -3 , equipped by the Priestess of Ofcol
New Ofcol, "a golden robe", 17, armor, none, body, 6/6/5/2, none, magic anti-evil, intelligence 2 , equipped by Chaplain Jerrold
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "the golden claw", 28, weapon, exotic, none, 3d8 (average 13), none, magic anti-evil, damage roll 3 , equipped by a Dragonlord
New Ofcol, "golden dragonscale leggings", 21, armor, none, legs, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "golden dragonscale boots", 21, armor, none, feet, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "the golden claw", 28, weapon, exotic, none, 3d8 (average 13), none, magic anti-evil, damage roll 3 , equipped by a Dragonlord
New Ofcol, "golden dragonscale boots", 21, armor, none, feet, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "golden dragonscale gauntlets", 21, armor, none, hands, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "the golden claw", 28, weapon, exotic, none, 3d8 (average 13), none, magic anti-evil, damage roll 3 , equipped by a Dragonlord
New Ofcol, "golden dragonscale sleeves", 21, armor, none, arms, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "a golden dragonscale girth", 21, armor, none, waist, 7/7/7/3, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonlord
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by The Ancient Gold Dragon
New Ofcol, "the Golden Claw", 39, weapon, exotic, none, 6d5 (average 18), none, magic anti-evil, damage roll 4 , equipped by The Ancient Gold Dragon
New Ofcol, "the Gold Dragon Orb", 17, staff, none, hold, none, none, magic anti-evil anti-neutral, wisdom 2 intelligence 1 , equipped by The Ancient Gold Dragon
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by an attendant of the dragon
New Ofcol, "a golden robe", 17, armor, none, body, 6/6/5/2, none, magic anti-evil, intelligence 2 , equipped by an attendant of the dragon
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by an attendant of the dragon
New Ofcol, "a golden robe", 17, armor, none, body, 6/6/5/2, none, magic anti-evil, intelligence 2 , equipped by an attendant of the dragon
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonknight
New Ofcol, "the golden claw", 21, weapon, exotic, none, 2d10 (average 11), none, magic anti-evil, damage roll 2 , equipped by a Dragonknight
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonknight
New Ofcol, "the golden claw", 21, weapon, exotic, none, 2d10 (average 11), none, magic anti-evil, damage roll 2 , equipped by a Dragonknight
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale torso", 24, armor, none, torso, 7/7/7/3, none, magic anti-evil, hit roll 2 armor class -5 , equipped by a Dragonknight
New Ofcol, "a golden dragonscale shield", 21, armor, none, shield, 7/7/7/4, none, magic anti-evil, hit roll 1 armor class -3 , equipped by a Dragonknight
New Ofcol, "the golden claw", 21, weapon, exotic, none, 2d10 (average 11), none, magic anti-evil, damage roll 2 , equipped by a Dragonknight
New Ofcol, "a quart of ale", 0, drink, none, none, none, none, none, , in room Granny's Still Room
New Ofcol, "a house key", 0, key, none, none, none, none, none, , in room The End of Impy Way
New Ofcol, "a house key", 0, key, none, none, none, none, none, , in room The End of Impy Way
New Ofcol, "a house key", 0, key, none, none, none, none, none, , in room The End of Impy Way
New Ofcol, "a small dusk of poison ivy", 0, food, none, none, none, none, none, , in room The End of Impy Way
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , in room Big House
New Ofcol, "brass sleeves", 16, armor, none, arms, 6/5/6/1, none, magic, hp 5 saves -1 , in room Big House
New Ofcol, "a pitchfork", 7, weapon, staff, none, 3d3 (average 6), none, none, , equipped by Farmer Sara
New Ofcol, "a brass bracer", 12, armor, none, wrist, 4/5/6/1, none, magic, hp 5 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "a claymore", 19, weapon, sword, none, 4d4 (average 10), two-handed, magic, damage roll 5 hit roll -2 , equipped by the Ofcol cityguard
New Ofcol, "brass plate", 16, armor, none, torso, 6/5/6/1, none, magic, hp 10 saves -1 , equipped by the Ofcol cityguard
New Ofcol, "an Ofcol signet ring", 10, jewelry, none, finger, none, none, magic, armor class -2 hp 5 saves -1 , equipped by the Ofcol cityguard
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a mushroom", 0, food, none, none, none, none, none, , in room Inside The Bloodbath
The BloodBath, "a sanct potion", 25, potion, none, hold, none, none, glow magic nodrop rot_death no_locate no_uncurse, none 0 constitution -2 , inventory of a war priest
The BloodBath, "some unholy water", 25, potion, none, none, none, none, glow evil invis magic nodrop anti-good anti-neutral rot_death no_locate no_uncurse, , inventory of a war priest
The BloodBath, "a potion of divine protection", 16, potion, none, hold, none, none, glow hum magic bless, , inventory of a war priest
The BloodBath, "a deep-green potion", 12, potion, none, hold, none, none, magic, , inventory of a war priest
The BloodBath, "an off white potion", 11, potion, none, hold, none, none, magic, , inventory of a war priest
The BloodBath, "a potion of true sight", 4, potion, none, hold, none, none, magic, , inventory of a war priest
The BloodBath, "a potion of flying", 3, potion, none, hold, none, none, magic, , inventory of a war priest
The BloodBath, "a shot of whiskey", 0, drink, none, none, none, none, inventory, , inventory of a war priest
The BloodBath, "some dragon jerky", 0, food, none, hold, none, none, burn_proof, , inventory of a war priest
The BloodBath, "a raft", 0, boat, none, none, none, none, none, , inventory of a war priest
The BloodBath, "a haste potion", 25, potion, none, none, none, none, glow invis magic nodrop rot_death no_locate no_uncurse, , inventory of a war priest
The BloodBath, "a potion of cure serious wounds", 1, potion, none, hold, none, none, magic, , inventory of a war priest
